Disease,Title,Journal,Year,PMID
Restless Legs Syndrome,Retraction: Restless Legs Syndrome Affects Sleep in de novo Parkinson's Disease Patients.,Neurology India,2024,39428812
s Disease,Retraction: Restless Legs Syndrome Affects Sleep in de novo Parkinson's Disease Patients.,Neurology India,2024,39428812
Sarcoid Associated Myelopathy Presenting as Idiopathic Inflammatory Demyelinating Disease,Sarcoid Associated Myelopathy Presenting as Idiopathic Inflammatory Demyelinating Disease.,Neurology India,2024,39428807
s Disease,Awake Bruxism in a Patient with Advanced Alzheimer's Disease: An Epiphenomenon of Anxiety or Marker of Advanced Disease.,Neurology India,2024,39428794
An Epiphenomenon of Anxiety or Marker of Advanced Disease,Awake Bruxism in a Patient with Advanced Alzheimer's Disease: An Epiphenomenon of Anxiety or Marker of Advanced Disease.,Neurology India,2024,39428794
Lyme Disease,Lyme Disease as an Extremely Rare Cause of Guillain-Barré Syndrome in India.,Neurology India,2024,39428793
Syndrome,Lyme Disease as an Extremely Rare Cause of Guillain-Barré Syndrome in India.,Neurology India,2024,39428793
Bilateral Neuralgic Amyotrophy with Multiple Cranial Nerve Involvement and Deep Vein Thrombosis in a Known Case of Celiac Disease,Bilateral Neuralgic Amyotrophy with Multiple Cranial Nerve Involvement and Deep Vein Thrombosis in a Known Case of Celiac Disease.,Neurology India,2024,39428790
Tooth Disease,Novel Missense Mutation in GJB1 Gene Leading to X-linked Charcot-Marie-Tooth Disease in Young Male: A Case Report.,Neurology India,2024,39428786
s Disease,Research Progress of Novel Inorganic Nanomaterials in the Diagnosis and Treatment of Alzheimer's Disease.,Neurology India,2024,39428764
LncRNA NRIR serves as a biomarker for systemic lupus erythematosus and participates in the disease,LncRNA NRIR serves as a biomarker for systemic lupus erythematosus and participates in the disease progression.,Lupus,2024,39428741
Higher dose antiviral therapy for herpes infections is associated with a risk of serious adverse events in older adults with chronic kidney disease,Higher dose antiviral therapy for herpes infections is associated with a risk of serious adverse events in older adults with chronic kidney disease.,Pharmacology research & perspectives,2024,39428714
s disease,Therapeutic approaches targeting aging and cellular senescence in Huntington's disease.,CNS neuroscience & therapeutics,2024,39428700
s disease,Whole-genome sequencing study in Koreans identifies novel loci for Alzheimer's disease.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2024,39428694
First Evidence for Disease,First Evidence for Disease-Modifying Treatment of SLC20A2-Related Primary Familial Brain Calcification.,Movement disorders : official journal of the Movement Disorder Society,2024,39428678
level is increased and correlated positively with disease,Serum interleukin-10 level is increased and correlated positively with disease severity in patients with dipeptidyl peptidase-4 inhibitor-related bullous pemphigoid.,The Journal of dermatology,2024,39428667
effectiveness analysis of RefluxStop against relevant therapeutic alternatives for chronic gastroesophageal reflux disease,A cost-effectiveness analysis of RefluxStop against relevant therapeutic alternatives for chronic gastroesophageal reflux disease in Sweden.,Expert review of pharmacoeconomics & outcomes research,2024,39428644
s disease,Management of Drop Attacks in Meniere's disease: A Systematic Literature Review.,The Journal of laryngology and otology,2024,39428593
Beck disease,"Transcriptome-wide RNA m6A methylation profiles in an endemic osteoarthropathy, Kashin-Beck disease.",Journal of cellular and molecular medicine,2024,39428571
s Disease,Exploratory Analysis of the Association Between Plasma Ceramide Alterations and Cognitive Dysfunction in Parkinson's Disease.,CNS neuroscience & therapeutics,2024,39428566
s Disease,Novel Insights Into DLAT's Role in Alzheimer's Disease-Related Copper Toxicity Through Microglial Exosome Dynamics.,CNS neuroscience & therapeutics,2024,39428563
s Disease,Possible Case of Elderly-onset Intestinal Behcet's Disease with Trisomy 8 Following COVID-19 Vaccination Exacerbated by COVID-19 Infection.,"Internal medicine (Tokyo, Japan)",2024,39428534
Jakob Disease,Creutzfeldt-Jakob Disease Presenting with Alien Hand.,"Internal medicine (Tokyo, Japan)",2024,39428531
s Disease,Association between Clinical Characteristics and Sarcopenia or Sarcopenic Obesity in Crohn's Disease.,"Internal medicine (Tokyo, Japan)",2024,39428526
s Disease,The Possible Genetic and Environmental Factors Related to Behçet's Disease: Trisomy 8 and SARS-CoV-2.,"Internal medicine (Tokyo, Japan)",2024,39428520
transplant lymphoproliferative disease,[A case of primary central nervous system post-transplant lymphoproliferative disease 14 years after living donor liver transplantation].,Rinsho shinkeigaku = Clinical neurology,2024,39428512
alcoholic fatty liver disease,Management of non-alcoholic fatty liver disease-associated hepatocellular carcinoma.,Bioscience trends,2024,39428499
Estimating dynamics of dengue disease,Estimating dynamics of dengue disease in Colombo district of Sri Lanka with environmental impact by quantifying the per-capita vector density.,Scientific reports,2024,39428492
s disease,Mapping the glial transcriptome in Huntington's disease using snRNAseq: selective disruption of glial signatures across brain regions.,Acta neuropathologica communications,2024,39428482
Entry of Newcastle disease,Entry of Newcastle disease virus into host cells: an interplay among viral and host factors.,Archives of virology,2024,39428451
antagonist treatment for eyelid retraction in patients with thyroid eye disease,Alpha-1 antagonist treatment for eyelid retraction in patients with thyroid eye disease-a prospective pilot study.,"Eye (London, England)",2024,39428445
s disease,Human midbrain organoids: a powerful tool for advanced Parkinson's disease modeling and therapy exploration.,NPJ Parkinson's disease,2024,39428415
VEGF therapy in patients with retinal vein occlusion and concomitant carotid artery disease,Prognosis and factors related to anti-VEGF therapy in patients with retinal vein occlusion and concomitant carotid artery disease.,Scientific reports,2024,39428411
a novel target for antithrombotic therapy in coronary heart disease,[Thrombosis-inflammation: a novel target for antithrombotic therapy in coronary heart disease].,Zhonghua xin xue guan bing za zhi,2024,39428377
Angina pectoris of coronary artery disease,[Angina pectoris of coronary artery disease presenting with intermittent claudication: a case report].,Zhonghua xin xue guan bing za zhi,2024,39428374
Clinical characteristics of patients with moderate or severe valvular heart disease,[Clinical characteristics of patients with moderate or severe valvular heart disease].,Zhonghua xin xue guan bing za zhi,2024,39428370
Prognosis of different hemodynamic classifications in patients with pulmonary hypertension due to left heart disease,[Prognosis of different hemodynamic classifications in patients with pulmonary hypertension due to left heart disease].,Zhonghua xin xue guan bing za zhi,2024,39428367
Sectional Study of Risk Factors for Coronary Heart Disease in Secondary Prevention for Patients With the Disease,Comment on: 'A Cross-Sectional Study of Risk Factors for Coronary Heart Disease in Secondary Prevention for Patients With the Disease in China'.,Journal of clinical nursing,2024,39428360
s Disease,Impairment of Internal Auditory Canal Barrier in Meniere's Disease.,Clinical otolaryngology : official journal of ENT-UK ; official journal of Netherlands Society for Oto-Rhino-Laryngology & Cervico-Facial Surgery,2024,39428356
Standardized Positron Emission Tomography Disease,Prostate-specific Membrane Antigen (PSMA) Spatial Biomarker: Standardized Positron Emission Tomography Disease Maps Provide Accurate Prediction of Overall Survival in Prostate Cancer.,European urology,2024,39428325
led WeChat mini program management for disease,Effectiveness of specialist nurse-led WeChat mini program management for disease control in asthma: A randomized controlled study.,Journal of pediatric nursing,2024,39428301
The Goldilocks Solution for Aortic Valve Disease,Sutureless Valves: The Goldilocks Solution for Aortic Valve Disease?,Journal of cardiothoracic and vascular anesthesia,2024,39428284
metabolic characteristics and mortality from major cardiovascular disease,Population dietary-metabolic characteristics and mortality from major cardiovascular disease subtypes: the Seven Contries Study 60-year follow-up.,"Nutrition, metabolism, and cardiovascular diseases : NMCD",2024,39428277
cause mortality and nonfatal myocardial infarction in patients with suspected or established coronary artery disease,Basal and post-stress ceramide-based risk score CERT1 predicts all-cause mortality and nonfatal myocardial infarction in patients with suspected or established coronary artery disease undergoing stress myocardial perfusion scintigraphy.,"Nutrition, metabolism, and cardiovascular diseases : NMCD",2024,39428276
releasing contraceptive implant use in cisgender women with Sickle cell disease,Impact of Etonogestrel-releasing contraceptive implant use in cisgender women with Sickle cell disease.,Journal of the National Medical Association,2024,39428270
Establishment and application of infectious disease,"[Establishment and application of infectious disease monitoring, early warning and disposal system].",Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],2024,39428250
Pulmonary rehabilitation in patients with fibrotic interstitial lung disease,[Pulmonary rehabilitation in patients with fibrotic interstitial lung disease].,Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],2024,39428234
term effects of laparoscopic sleeve gastrectomy combined with reconstruction of the acute His angle on postoperative gastroesophageal reflux disease,[Short-term effects of laparoscopic sleeve gastrectomy combined with reconstruction of the acute His angle on postoperative gastroesophageal reflux disease].,Zhonghua wei chang wai ke za zhi = Chinese journal of gastrointestinal surgery,2024,39428227
regulated AMP sensing by AMPK and its application for the treatment of chronic kidney disease,ULK1-regulated AMP sensing by AMPK and its application for the treatment of chronic kidney disease.,Kidney international,2024,39428173
Patients with crush syndrome and kidney disease,"Patients with crush syndrome and kidney disease: lessons learned from the earthquake in Kahramanmaraş, Türkiye.",Kidney international,2024,39428169
Effective cardiac disease,Effective cardiac disease classification using FS-XGB and GWO approach.,Medical engineering & physics,2024,39428137
Association between Body Fat Distribution and Nonalcoholic Fatty Liver Disease,Association between Body Fat Distribution and Nonalcoholic Fatty Liver Disease/Fibrosis Based on Race/Ethnicity.,Journal of obesity & metabolic syndrome,2024,39428122
Central Compartment Atopic Disease,Central Compartment Atopic Disease in the Bronx Population.,"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology",2024,39428095
Associations of pregnancy dietary quality and diversity with childhood celiac disease,Associations of pregnancy dietary quality and diversity with childhood celiac disease.,The Journal of nutrition,2024,39428068
Clinical outcomes following invasive treatment of femoropopliteal artery disease,Clinical outcomes following invasive treatment of femoropopliteal artery disease: a retrospective single-center cohort study.,Journal of vascular and interventional radiology : JVIR,2024,39428061
Treatment of Femoropopliteal Disease,Treatment of Femoropopliteal Disease: The Quest for the Best?,Journal of vascular and interventional radiology : JVIR,2024,39428059
Development of a machine learning model for precision prognosis of rapid kidney function decline in people with diabetes and chronic kidney disease,Development of a machine learning model for precision prognosis of rapid kidney function decline in people with diabetes and chronic kidney disease.,Diabetes research and clinical practice,2024,39428040
Sarcopenia influences clinical outcome in hospitalized patients with peripheral artery disease,Sarcopenia influences clinical outcome in hospitalized patients with peripheral artery disease aged 75 years and older.,Annals of vascular surgery,2024,39427977
The Patterns of Antifungal Use and Risk Factors Associated with Mortality in Patients with Invasive Candidiasis and Aspergillosis Infections Among Patients Who were Received Infectious Disease,The Patterns of Antifungal Use and Risk Factors Associated with Mortality in Patients with Invasive Candidiasis and Aspergillosis Infections Among Patients Who were Received Infectious Disease Specialist Consultation Prior to and During the COVID-19 Pandemic in A Resource-Limited Setting: A Retrospective Cohort Study.,American journal of infection control,2024,39427929
s disease,Correspondence: sodium-glucose cotransporter 2 inhibitors (SGLT2i) and other antidiabetic agents in Alzheimer's disease.,Pharmacological research,2024,39427870
THE LEVEL OF KNOWLEDGE RELATED TO THE DISEASE,THE LEVEL OF KNOWLEDGE RELATED TO THE DISEASE AND QUALITY OF LIFE AMONG CORONARY ARTERY PATIENTS.,Current problems in cardiology,2024,39427865
s disease,Multiomics approach discloses lipids and metabolites profiles associated to Parkinson's disease stages and applied therapies.,Neurobiology of disease,2024,39427845
Bile Acids as Signaling Molecules in Inflammatory Bowel Disease,Bile Acids as Signaling Molecules in Inflammatory Bowel Disease: Implications for Treatment Strategies.,Journal of ethnopharmacology,2024,39427739
Lower Extremity Chronic Venous Disease,Patient-Friendly Summary of the ACR Appropriateness Criteria®: Lower Extremity Chronic Venous Disease.,Journal of the American College of Radiology : JACR,2024,39427721
A Comparison of GOLD and STAR Severity Stages in Individuals with Chronic Obstructive Pulmonary Disease,A Comparison of GOLD and STAR Severity Stages in Individuals with Chronic Obstructive Pulmonary Disease Undergoing Pulmonary Rehabilitation.,Chest,2024,39427705
Poor Tolerability of Lenvatinib in Elderly Patients with Advanced Hepatocellular Carcinoma after Disease,Poor Tolerability of Lenvatinib in Elderly Patients with Advanced Hepatocellular Carcinoma after Disease Progression following First-Line Atezolizumab Plus Bevacizumab: A Multicenter Study.,Oncology,2024,39427645
Sex differences in use of potentially teratogenic disease,Sex differences in use of potentially teratogenic disease modifying treatments for multiple sclerosis and degree of hormonal contraception overlap in women between 2007-2021: An Australian population-based study.,Multiple sclerosis and related disorders,2024,39427601
cause mortality and cardiovascular disease,Impact of mental disorders on the all-cause mortality and cardiovascular disease outcomes in adults with new-onset type 1 diabetes: A nationwide cohort study.,Psychiatry research,2024,39427575
From risk factors to disease,"From risk factors to disease situations: A socio-spatial analysis of COVID-19 experiences in Lima, Peru.",Social science & medicine (1982),2024,39427570
One health and social research in disease,"One health and social research in disease ecology: A social contextual study of vector-borne diseases in the Yucatan Peninsula, Mexico.",Social science & medicine (1982),2024,39427567
s disease,Novel plasma protein biomarkers: A time-dependent predictive model for Alzheimer's disease.,Archives of gerontology and geriatrics,2024,39427525
s disease,Getting sincere and efficient support: A grounded theory study of older spousal caregivers of people with alzheimer's disease.,"Geriatric nursing (New York, N.Y.)",2024,39427506
The use of the Roth score in emergency department for patients with acute exacerbation of chronic obstructive pulmonary disease,The use of the Roth score in emergency department for patients with acute exacerbation of chronic obstructive pulmonary disease.,The American journal of emergency medicine,2024,39427501
Trends and hospital practice variation for analgesia for children with sickle cell disease,Trends and hospital practice variation for analgesia for children with sickle cell disease with vaso-occlusive pain episodes: An 11-year analysis.,The American journal of emergency medicine,2024,39427500
wedge distal femoral osteotomy and modified tibial plateau levelling osteotomy for the treatment of medial patellar luxation and concomitant cranial cruciate ligament disease,Combination of closing-wedge distal femoral osteotomy and modified tibial plateau levelling osteotomy for the treatment of medial patellar luxation and concomitant cranial cruciate ligament disease in dogs.,Research in veterinary science,2024,39427476
Association of moderate alcohol intake with the risks of cirrhosis and steatotic liver disease,Association of moderate alcohol intake with the risks of cirrhosis and steatotic liver disease: Results from a large population-based cohort study.,"Clinical nutrition (Edinburgh, Scotland)",2024,39427474
s disease,Binding of α-synuclein to ACO2 promotes progressive mitochondrial dysfunction in Parkinson's disease models.,Redox biology,2024,39427443
binding increases B lymphocyte function after infectious bursal disease,Peptide-directed interference of PD-1/PD-L1 binding increases B lymphocyte function after infectious bursal disease viral infection.,Poultry science,2024,39427422
cardiac procedures in patients with congenital heart disease,Perioperative considerations for non-cardiac procedures in patients with congenital heart disease: A practical overview.,Seminars in pediatric surgery,2024,39427368
s disease,"Identification of novel brain penetrant GSK-3β inhibitors toward Alzheimer's disease therapy by virtual screening, molecular docking, dynamic simulation, and MMPBSA analysis.",Journal of biomolecular structure & dynamics,2024,39427335
A disease,CUTting through the distance: A disease-relevant long-range ONECUT1 enhancer.,Cell reports,2024,39427317
s disease,Machine learning reveals prominent spontaneous behavioral changes and treatment efficacy in humanized and transgenic Alzheimer's disease models.,Cell reports,2024,39427315
The Expression pattern of NK cells in systemic lupus erythematosus patients with different disease,The Expression pattern of NK cells in systemic lupus erythematosus patients with different disease activities.,The Egyptian journal of immunology,2024,39427243
durvalumab in patients with advanced biliary tract cancer experiencing early vs late disease,Efficacy of cisplatin-gemcitabine-durvalumab in patients with advanced biliary tract cancer experiencing early vs late disease relapse after surgery: a large real-life worldwide population.,The oncologist,2024,39427227
s disease,Single-atom nanozyme liposome-integrated microneedles for in situ drug delivery and anti-inflammatory therapy in Parkinson's disease.,Journal of nanobiotechnology,2024,39427214
s disease,Myeloid gasdermin D drives early-stage T cell immunity and peripheral inflammation in a mouse model of Alzheimer's disease.,Journal of neuroinflammation,2024,39427168
Prediction of lumpy skin disease,Prediction of lumpy skin disease virus using customized CBAM-DenseNet-attention model.,BMC infectious diseases,2024,39427155
s disease,Identification of brain region-specific landscape and functions of clustered circRNAs in Alzheimer's disease using circMeta2.,Communications biology,2024,39427093
Development of a wastewater based infectious disease,Development of a wastewater based infectious disease surveillance research system in South Korea.,Scientific reports,2024,39427054
s disease,Exploration of the shared gene signatures and molecular mechanisms between Alzheimer's disease and intracranial aneurysm.,Scientific reports,2024,39427050
Association between magnesium depletion score and the risk of metabolic dysfunction associated steatotic liver disease,Association between magnesium depletion score and the risk of metabolic dysfunction associated steatotic liver disease: a cross sectional study.,Scientific reports,2024,39427041
like hepatocytes for advanced liver disease,Oxygen control in bioreactor drives high yield production of functional hiPSC-like hepatocytes for advanced liver disease modelling.,Scientific reports,2024,39427033
chronic liver disease,Nomograms for predicting short-term mortality in acute-on-chronic liver disease caused by the combination of hepatitis B virus and alcohol.,Scientific reports,2024,39427018
alcoholic fatty liver disease,Cotinine exposure enhances the association of blood manganese and non-alcoholic fatty liver disease in American children: a cross-sectional study.,Scientific reports,2024,39426991
The association analysis between exposure to volatile organic compounds and fatty liver disease,The association analysis between exposure to volatile organic compounds and fatty liver disease in US Adults.,Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,2024,39426902
Measured glomerular filtration rate predicts liver related deaths better than estimated glomerular filtration rate in advanced chronic liver disease,Measured glomerular filtration rate predicts liver related deaths better than estimated glomerular filtration rate in advanced chronic liver disease.,Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,2024,39426901
Fistulography for Surgical Planning in a Patient With Chronic Granulomatous Disease,Chest Wall CT-Fistulography for Surgical Planning in a Patient With Chronic Granulomatous Disease.,Archivos de bronconeumologia,2024,39426889
The evolution of dry eye disease,Standing on the shoulders of giants: The evolution of dry eye disease.,Contact lens & anterior eye : the journal of the British Contact Lens Association,2024,39426847
communicable disease,Non-communicable disease management in reproductive health care.,"Lancet (London, England)",2024,39426828
enhanced mammography and preoperative magnetic seed placement in breast cancer patients for the detection of residual disease,Contrast-enhanced mammography and preoperative magnetic seed placement in breast cancer patients for the detection of residual disease following neoadjuvant systemic therapy.,Radiologia,2024,39426811
Clinicogenetic characterization and response to disease,Clinicogenetic characterization and response to disease-modifying therapies in spinal muscular atrophy: real-world experience from a reference center in Southern Brazil.,Jornal de pediatria,2024,39426797
Personalized biocorona as disease,Personalized biocorona as disease biomarker: The challenges and opportunities.,Biochimica et biophysica acta. General subjects,2024,39426758
Isolation of genetically distinct strains within the same species during treatment of MAC pulmonary disease,Isolation of genetically distinct strains within the same species during treatment of MAC pulmonary disease.,Chest,2024,39426718
Endovascular and Hybrid Interventions for Aortoiliac Occlusive Disease,Endovascular and Hybrid Interventions for Aortoiliac Occlusive Disease in Patients with Intermittent Claudication.,Annals of vascular surgery,2024,39426669
and Therapy of Intestinal Mucus and Biofilms in Gastrointestinal Health and Disease,"Gut Goo: Physiology, Diet, and Therapy of Intestinal Mucus and Biofilms in Gastrointestinal Health and Disease.",Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2024,39426645
Chronic Disease,"Impact of a Clinical Pharmacist-Led, Artificial Intelligence-Supported Medication Adherence Program on Medication Adherence Performance, Chronic Disease Control Measures, and Cost Savings.",Journal of the American Pharmacists Association : JAPhA,2024,39426621
s disease,Serotonin-2B receptor (5-HT<sub>2B</sub>R) expression and binding in the brain of APP<sub>swe</sub>/PS1<sub>dE9</sub> transgenic mice and in Alzheimer's disease brain tissue.,Neuroscience letters,2024,39426582
Atrial leadless pacemaker implant using Aveir VR in an Adolescent with congenital heart disease,Atrial leadless pacemaker implant using Aveir VR in an Adolescent with congenital heart disease.,Indian pacing and electrophysiology journal,2024,39426459
stand test to evaluate fibrotic interstitial lung disease,The 1-minute sit-to-stand test to evaluate fibrotic interstitial lung disease.,Respiratory medicine,2024,39426438
interstitial lung disease,Efficacy and determinants of response to inhaled treprostinil in pulmonary hypertension - interstitial lung disease.,Respiratory medicine,2024,39426436
Gastroesophageal reflux disease,"Gastroesophageal reflux disease, laryngopharyngeal reflux, and vocal cord dysfunction/Inducible laryngeal obstruction - overlapping conditions that impact asthma.",The Journal of allergy and clinical immunology,2024,39426423
like disease,An Australian Shepherd with possible Behçet-like disease characterized by cutaneous and intestinal vasculitis leading to septic abdomen.,Journal of the American Veterinary Medical Association,2024,39426406
s disease,"Spatiotemporal, kinematic and kinetic gait characteristics in Parkinson's disease compared to healthy individuals: A systematic review with meta-analysis.","Clinical biomechanics (Bristol, Avon)",2024,39426345
Changes in Treg cells and cytokines in the peripheral blood of patients with coronary artery disease,Changes in Treg cells and cytokines in the peripheral blood of patients with coronary artery disease combined with type 2 diabetes mellitus.,Heart & lung : the journal of critical care,2024,39426330
Taxonomic intestinal microbiota differences in Lewy body spectrum disease,Taxonomic intestinal microbiota differences in Lewy body spectrum disease and cohabitant controls.,Parkinsonism & related disorders,2024,39426329
lindau disease,Comparative analysis of stereotactic radiosurgery outcomes for supratentorial hemangioblastomas in von hippel-lindau disease and sporadic cases: A multi-center international study.,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,2024,39426317
s disease,Butyrate attenuates intestinal inflammation in Crohn's disease by suppressing pyroptosis of intestinal epithelial cells via the cGSA-STING-NLRP3 axis.,International immunopharmacology,2024,39426229
s disease,Resveratrol and ceftriaxone encapsulated in hybrid nanoparticles to prevent dopaminergic neurons from degeneration for Parkinson's disease treatment.,Biomaterials advances,2024,39426178
mouth disease,Impact of COVID-19 control measures on respiratory syncytial virus and hand-foot-and-mouth disease transmission in Hong Kong and South Korea.,Epidemics,2024,39426115
insights from the Global Burden of Disease,"Global trends in adolescent and young adult female cancer burden, 1990-2021: insights from the Global Burden of Disease study.",ESMO open,2024,39426082
s Disease,Sinonasal Outcomes after Endoscopic Pituitary Surgery in Patients With Cushing's Disease.,"The Annals of otology, rhinology, and laryngology",2024,39425926
Derived Exosomes Promoted the Development and Stemness of Inflammatory Bowel Disease,Macrophage-Derived Exosomes Promoted the Development and Stemness of Inflammatory Bowel Disease-Related Colorectal Cancer via nuclear paraspeckle assembly transcript 1-Mediated miRNA-34a-5p/phosphoprotein enriched in astrocytes 15 Axis.,Inflammatory bowel diseases,2024,39425913
Characteristics of diabetes mellitus patients with nonviral chronic liver disease,Characteristics of diabetes mellitus patients with nonviral chronic liver disease who developed hepatocellular carcinoma.,Hepatology research : the official journal of the Japan Society of Hepatology,2024,39425908
Prevalence of Chronic Disease,Prevalence of Chronic Disease and Cost Effectiveness of a Free Clinic.,Journal of community health,2024,39425887
Related Physical Fitness in Inflammatory Bowel Disease,Criterion Validity of Screening Tools and Field-Based Tests for Health-Related Physical Fitness in Inflammatory Bowel Disease.,Digestive diseases and sciences,2024,39425857
global disease,Epidemiology of liver diseases: global disease burden and forecasted research trends.,Science China. Life sciences,2024,39425834
fatigue and bowel incontinence on the quality of life of people living with inflammatory bowel disease,"Impact of pain, fatigue and bowel incontinence on the quality of life of people living with inflammatory bowel disease: A UK cross-sectional survey.",United European gastroenterology journal,2024,39425758
Mediated Disease,Genetic Landscape of Patients With Dilated Cardiomyopathy and a Systemic Immune-Mediated Disease.,JACC. Heart failure,2024,39425739
s disease,Safety and efficacy of adipose-derived mesenchymal stem cell therapy in elderly Parkinson's disease patients: an intermediate-size expanded access program.,Cytotherapy,2024,39425736
Endoscopic diagnosis and management of adult inflammatory bowel disease,Endoscopic diagnosis and management of adult inflammatory bowel disease: a consensus document from the American Society for Gastrointestinal Endoscopy IBD Endoscopy Consensus Panel.,Gastrointestinal endoscopy,2024,39425706
The Intersection of the Planetary Health Diet and Cardiovascular Disease,Feeding the Future: The Intersection of the Planetary Health Diet and Cardiovascular Disease.,European journal of preventive cardiology,2024,39425682
Diosgenin Reduces Acute Kidney Injury and Ameliorates the Progression to Chronic Kidney Disease,"Correction to ""Diosgenin Reduces Acute Kidney Injury and Ameliorates the Progression to Chronic Kidney Disease by Modifying the NOX4/p65 Signaling Pathways"".",Journal of agricultural and food chemistry,2024,39425655
and practice toward rheumatic fever and rheumatic heart disease,"Knowledge, attitude, and practice toward rheumatic fever and rheumatic heart disease among parents in Al-Baha Region, Saudi Arabia: A Cross-Sectional study.",The Egyptian journal of immunology,2024,39425650
Study of diabetic kidney disease,Interpretable subgroup learning-based modeling framework: Study of diabetic kidney disease prediction.,Health informatics journal,2024,39425633
The Role of Collaboration in Prenatal Congenital Heart Disease,The Role of Collaboration in Prenatal Congenital Heart Disease Diagnosis: A Comparison of Maternal-Fetal Medicine Specialist and Pediatric Cardiologist Performance.,Journal of ultrasound in medicine : official journal of the American Institute of Ultrasound in Medicine,2024,39425632
Comparative and experimental pathology of passaged Newcastle disease,Comparative and experimental pathology of passaged Newcastle disease virus isolates in ducks.,Veterinary pathology,2024,39425627
The impact of achieving remission in inflammatory bowel disease,The impact of achieving remission in inflammatory bowel disease on plasma matrix γ-carboxyglutamate protein levels.,The Egyptian journal of immunology,2024,39425625
Association of gestational trophoblastic disease,Association of gestational trophoblastic disease with subsequent development of non-trophoblastic cancer.,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,2024,39425609
Comprehensive Analysis of Sex Differences in Amyotrophic Lateral Sclerosis Prognosis and Disease,Comprehensive Analysis of Sex Differences in Amyotrophic Lateral Sclerosis Prognosis and Disease Progression.,Annals of neurology,2024,39425598
Glymphatic system dysfunction and risk of clinical milestones in patients with Parkinson disease,Glymphatic system dysfunction and risk of clinical milestones in patients with Parkinson disease.,European journal of neurology,2024,39425566
addressing temperature limitations for pine wilt disease,Optimized emamectin benzoate trunk injection: addressing temperature limitations for pine wilt disease control.,Pest management science,2024,39425489
Tooth disease,3D-printed custom ankle braces for people with Charcot-Marie-Tooth disease: A pilot study.,Journal of foot and ankle research,2024,39425477
ATPase Deletion on Membrane Asymmetry and Disease,Impacts of P4-ATPase Deletion on Membrane Asymmetry and Disease Development.,Cell biochemistry and function,2024,39425455
Dimensional CT Angiography and Surgical Clipping for Unruptured Cerebral Aneurysms on Renal Function in Patients with Chronic Kidney Disease,"In Reply to the Letter to the Editor Regarding ""Influence of Perioperative Three-Dimensional CT Angiography and Surgical Clipping for Unruptured Cerebral Aneurysms on Renal Function in Patients with Chronic Kidney Disease"".",World neurosurgery,2024,39425297
Angiography and Surgical Clipping for Unruptured Cerebral Aneurysms on Renal Function in Patients with Chronic Kidney Disease,"Letter to the Editor: ""Influence of Perioperative Three-Dimensional Computed Tomography (CT) Angiography and Surgical Clipping for Unruptured Cerebral Aneurysms on Renal Function in Patients with Chronic Kidney Disease"".",World neurosurgery,2024,39425296
Angiography and Surgical Clipping for Unruptured Cerebral Aneurysms on Renal Function in Patients with Chronic Kidney Disease,"In Reply to the Letter to the Editor Regarding: ""Influence of Perioperative Three-Dimensional Computed Tomography (CT) Angiography and Surgical Clipping for Unruptured Cerebral Aneurysms on Renal Function in Patients with Chronic Kidney Disease"".",World neurosurgery,2024,39425291
Dimensional Computed Tomography Angiography and Surgical Clipping for Unruptured Cerebral Aneurysms on Renal Function in Patients with Chronic Kidney Disease,"Letter to the Editor Regarding ""Influence of Perioperative Three-Dimensional Computed Tomography Angiography and Surgical Clipping for Unruptured Cerebral Aneurysms on Renal Function in Patients with Chronic Kidney Disease"".",World neurosurgery,2024,39425290
Perinatal risk factors and neurocognitive outcomes in children and adolescents with sickle cell disease,Comment on: Perinatal risk factors and neurocognitive outcomes in children and adolescents with sickle cell disease.,Pediatric blood & cancer,2024,39425268
Perinatal risk factors and neurocognitive outcomes in children and adolescents with sickle cell disease,Reply to: Comment on: Perinatal risk factors and neurocognitive outcomes in children and adolescents with sickle cell disease.,Pediatric blood & cancer,2024,39425267
The value of assessing deep disease,The value of assessing deep disease healing by probe-based confocal laser endomicroscopy and histology for long-term prognosis of ulcerative colitis.,Journal of gastroenterology and hepatology,2024,39425247
Screening for comorbid autoimmune disease,Screening for comorbid autoimmune disease should be considered in children with ANA positive juvenile idiopathic arthritis - results from the south-Swedish juvenile idiopathic arthritis cohort.,Pediatric rheumatology online journal,2024,39425228
s disease,Increased expression of mesencephalic astrocyte-derived neurotrophic factor (MANF) contributes to synapse loss in Alzheimer's disease.,Molecular neurodegeneration,2024,39425207
s disease,A novel biomimetic nanovesicle containing caffeic acid-coupled carbon quantum dots for the the treatment of Alzheimer's disease via nasal administration.,Journal of nanobiotechnology,2024,39425199
